idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN;cep_df1;cep_df2;cep_igual;lat_df1;lon_df1;lat_df2;lon_df2;distancia_match_metros;idx_df2_mais_proximo;endereco_df2_mais_proximo;distancia_mais_proxima_metros
26;AVENIDA AFRANIO PEIXOTO VILA PAULINA;643,0;59437;AVENIDA  AFRANIO PEIXOTO ELDORADO;599;76,92;93,16;74,62;"AVENIDA  AFRANIO PEIXOTO ELDORADO 599 | Score Final: 75; AVENIDA  AFRANIO PEIXOTO ELDORADO 599 | Score Final: 75; AVENIDA  AFRANIO PEIXOTO ELDORADO 548 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 546 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 546 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 544 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 543 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 542 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 541 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 541 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 540 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 531 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 531 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 531 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 531 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 530 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 530 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 530 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 525 | Score Final: 74; AVENIDA  AFRANIO PEIXOTO ELDORADO 525 | Score Final: 74";9971360;09971360;False;-23,686;-46,623;-23,729918;-46,616586;4926,925797774823;112168;;30,82563344122803
27;RUA ITALIA JARDIM DAS NACOES;290,0;25950;AVENIDA  DAS NACOES TABOAO;291;74,07;99,66;72,8;"AVENIDA  DAS NACOES TABOAO 291 | Score Final: 73; AVENIDA  DAS NACOES TABOAO 289 | Score Final: 73; AVENIDA  DAS NACOES TABOAO 295 | Score Final: 73; AVENIDA  DAS NACOES TABOAO 299 | Score Final: 73; AVENIDA  DAS NACOES TABOAO 299 | Score Final: 73; AVENIDA  DAS NACOES TABOAO 299 | Score Final: 73; AVENIDA  DAS NACOES TABOAO 279 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 279 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 275 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 275 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 307 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 307 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 267 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 267 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 317 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 317 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 323 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 327 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 327 | Score Final: 72; AVENIDA  DAS NACOES TABOAO 327 | Score Final: 72";9941030;09921000;False;-23,6733104;-46,6097389;-23,676607;-46,610263;370,4303853689115;82301;;5,029184246239133
28;RUA GRACIOSA CENTRO;;15506;RUA  GRACIOSA CENTRO;187;100,0;;100,0;"RUA  GRACIOSA CENTRO 187 | Score Final: 100; RUA  GRACIOSA CENTRO 185 | Score Final: 100; RUA  GRACIOSA CENTRO 173 | Score Final: 100; RUA  GRACIOSA CENTRO 0 | Score Final: 100; RUA  GRACIOSA CENTRO 516 | Score Final: 100; RUA  GRACIOSA CENTRO 528 | Score Final: 100; RUA  GRACIOSA CENTRO 520 | Score Final: 100; RUA  GRACIOSA CENTRO 508 | Score Final: 100; RUA  GRACIOSA CENTRO 0 | Score Final: 100; RUA  GRACIOSA CENTRO 0 | Score Final: 100; RUA  GRACIOSA CENTRO 117 | Score Final: 100; RUA  GRACIOSA CENTRO 125 | Score Final: 100; RUA  GRACIOSA CENTRO 35 | Score Final: 100; RUA  GRACIOSA CENTRO 61 | Score Final: 100; RUA  GRACIOSA CENTRO 39 | Score Final: 100; RUA  GRACIOSA CENTRO 141 | Score Final: 100; RUA  GRACIOSA CENTRO 101 | Score Final: 100; RUA  GRACIOSA CENTRO 83 | Score Final: 100; RUA  GRACIOSA CENTRO 89 | Score Final: 100; RUA  GRACIOSA CENTRO 155 | Score Final: 100";9910660;09910660;False;-23,6904469;-46,6241555;-23,689571;-46,624499;103,48569207000995;65640;;6,111751156036606
29;RUA CARAMURU VL CONCEICAO;1255,0;131520;RUA  CARAMURU CONCEICAO;1255;100,0;100,0;100,0;"RUA  CARAMURU CONCEICAO 1255 | Score Final: 100; RUA  CARAMURU CONCEICAO 1255 | Score Final: 100; RUA  CARAMURU CONCEICAO 1255 | Score Final: 100; RUA  CARAMURU CONCEICAO 1255 | Score Final: 100; RUA  CARAMURU CONCEICAO 1264 | Score Final: 100; RUA  CARAMURU CONCEICAO 1240 | Score Final: 100; RUA  CARAMURU CONCEICAO 1272 | Score Final: 100; RUA  CARAMURU CONCEICAO 1272 | Score Final: 100; RUA  CARAMURU CONCEICAO 1272 | Score Final: 100; RUA  CARAMURU CONCEICAO 1280 | Score Final: 100; RUA  CARAMURU CONCEICAO 1280 | Score Final: 100; RUA  CARAMURU CONCEICAO 1230 | Score Final: 100; RUA  CARAMURU CONCEICAO 1282 | Score Final: 100; RUA  CARAMURU CONCEICAO 1284 | Score Final: 100; RUA  CARAMURU CONCEICAO 1290 | Score Final: 100; RUA  CARAMURU CONCEICAO 1206 | Score Final: 100; RUA  CARAMURU CONCEICAO 1330 | Score Final: 99; RUA  CARAMURU CONCEICAO 1334 | Score Final: 99; RUA  CARAMURU CONCEICAO 1180 | Score Final: 99; RUA  CARAMURU CONCEICAO 1180 | Score Final: 99";9911510;09911510;False;-23,69119145;-46,61002050342972;-23,691294;-46,609601;44,21130950149236;35349;;30,348606245384232
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605,0;133622;RUA  MANOEL DA NOBREGA CONCEICAO;881;100,0;68,67;96,87;"RUA  MANOEL DA NOBREGA CONCEICAO 881 | Score Final: 97; RUA  MANOEL DA NOBREGA CONCEICAO 1149 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1221 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1221 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1269 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1281 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1287 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1293 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1297 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1301 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1319 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1327 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1331 | Score Final: 95; RUA  MANOEL DA NOBREGA CONCEICAO 1351 | Score Final: 94; RUA  MANOEL DA NOBREGA CONCEICAO 1355 | Score Final: 94; RUA  MANOEL DA NOBREGA CONCEICAO 1359 | Score Final: 94; RUA  MANOEL DA NOBREGA CONCEICAO 1371 | Score Final: 94; RUA  MANOEL DA NOBREGA CONCEICAO 1385 | Score Final: 94; RUA  MANOEL DA NOBREGA CONCEICAO 1399 | Score Final: 94; RUA  MANOEL DA NOBREGA CONCEICAO 1403 | Score Final: 94";9910720;09910720;False;-23,689709;-46,6230891;-23,692798;-46,623743;349,87502172825214;121226;;2,309010781174425
31;AVENIDA ANTONIO PIRANGA CENTRO;700,0;50282;AVENIDA  ANTONIO PIRANGA CENTRO;700;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA CENTRO 700 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 703 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 615 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 841 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 847 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 877 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 556 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 887 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Score Final: 97";9911160;09911160;False;-23,68612020405848;-46,61723256111145;-23,686248;-46,618424;122,15099267491411;107959;;49,64944987629118
32;RUA NELSON RODRIGUES VL CONCEICAO;191,0;67716;RUA  NELSON RODRIGUES CONCEICAO;191;100,0;100,0;100,0;"RUA  NELSON RODRIGUES CONCEICAO 191 | Score Final: 100; RUA  NELSON RODRIGUES CONCEICAO 192 | Score Final: 100; RUA  NELSON RODRIGUES CONCEICAO 184 | Score Final: 100; RUA  NELSON RODRIGUES CONCEICAO 182 | Score Final: 100; RUA  NELSON RODRIGUES CONCEICAO 206 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 176 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 176 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 176 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 208 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 174 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 170 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 170 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 169 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 218 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 166 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 220 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 164 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 224 | Score Final: 99; RUA  NELSON RODRIGUES CONCEICAO 159 | Score Final: 98; RUA  NELSON RODRIGUES CONCEICAO 159 | Score Final: 98";9911440;09911440;False;-23,6927156;-46,6180896;-23,692549;-46,617933;24,44249769269701;130930;;6,808862128286842
33;RUA SANTO AMARO CENTRO;92,0;112213;RUA SANTO AMARO CENTRO;92;100,0;100,0;100,0;"RUA SANTO AMARO CENTRO 92 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 93 | Score Final: 100; RUA SANTO AMARO CENTRO 99 | Score Final: 99; RUA SANTO AMARO CENTRO 108 | Score Final: 99; RUA SANTO AMARO CENTRO 78 | Score Final: 98";9913090;09913090;False;-23,686;-46,623;-23,683683;-46,632346;985,9494219371439;112168;;30,82563344122803
34;RUA COIMBRA CENTRO;760,0;43728;RUA  COIMBRA CENTRO;763;100,0;99,61;99,96;"RUA  COIMBRA CENTRO 763 | Score Final: 100; RUA  COIMBRA CENTRO 765 | Score Final: 100; RUA  COIMBRA CENTRO 755 | Score Final: 100; RUA  COIMBRA CENTRO 751 | Score Final: 100; RUA  COIMBRA CENTRO 773 | Score Final: 100; RUA  COIMBRA CENTRO 741 | Score Final: 100; RUA  COIMBRA CENTRO 783 | Score Final: 100; RUA  COIMBRA CENTRO 737 | Score Final: 100; RUA  COIMBRA CENTRO 715 | Score Final: 99; RUA  COIMBRA CENTRO 709 | Score Final: 99; RUA  COIMBRA CENTRO 709 | Score Final: 99; RUA  COIMBRA CENTRO 705 | Score Final: 99; RUA  COIMBRA CENTRO 705 | Score Final: 99; RUA  COIMBRA CENTRO 699 | Score Final: 99; RUA  COIMBRA CENTRO 699 | Score Final: 99; RUA  COIMBRA CENTRO 687 | Score Final: 99; RUA  COIMBRA CENTRO 679 | Score Final: 99; RUA  COIMBRA CENTRO 679 | Score Final: 99; RUA  COIMBRA CENTRO 675 | Score Final: 99; RUA  COIMBRA CENTRO 669 | Score Final: 99";9910120;09910120;False;-23,69752166319056;-46,62955462932587;-23,697554;-46,628848;72,03805297894934;44110;;8,637711879409588
35;RUA BOROROS CONCEICAO;80,0;113708;RUA  BOROROS CONCEICAO;83;100,0;96,39;99,64;"RUA  BOROROS CONCEICAO 83 | Score Final: 100; RUA  BOROROS CONCEICAO 83 | Score Final: 100; RUA  BOROROS CONCEICAO 83 | Score Final: 100; RUA  BOROROS CONCEICAO 77 | Score Final: 100; RUA  BOROROS CONCEICAO 77 | Score Final: 100; RUA  BOROROS CONCEICAO 77 | Score Final: 100; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 87 | Score Final: 99; RUA  BOROROS CONCEICAO 71 | Score Final: 99; RUA  BOROROS CONCEICAO 71 | Score Final: 99; RUA  BOROROS CONCEICAO 71 | Score Final: 99; RUA  BOROROS CONCEICAO 71 | Score Final: 99";9990270;09990270;False;-23,6984241;-46,6153493;-23,699975;-46,618494;363,6740787353712;180678;;7,19753191618429
36;AVENIDA ANTONIO PIRANGA CENTRO;556,0;61402;AVENIDA  ANTONIO PIRANGA CENTRO;556;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA CENTRO 556 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 506 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 506 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 615 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 502 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 496 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 492 | Score Final: 99";9990000;09911160;False;-23,681837;-46,620974;-23,686288;-46,618993;534,4595184151929;175757;;4,824525351401931
37;RUA JAVARI JARDIM PAINEIRAS;635,0;21410;RUA  JAVARI TABOAO;635;63,16;100,0;63,5;"RUA  JAVARI TABOAO 635 | Score Final: 63; RUA  JAVARI TABOAO 647 | Score Final: 63; RUA  JAVARI TABOAO 663 | Score Final: 63; RUA  JAVARI TABOAO 667 | Score Final: 63; RUA  JAVARI TABOAO 674 | Score Final: 63; RUA  JAVARI TABOAO 677 | Score Final: 63; RUA  JAVARI TABOAO 677 | Score Final: 63; RUA  JAVARI TABOAO 679 | Score Final: 63; RUA  JAVARI TABOAO 687 | Score Final: 63; RUA  JAVARI TABOAO 687 | Score Final: 63; RUA  JAVARI TABOAO 582 | Score Final: 63; RUA  JAVARI TABOAO 582 | Score Final: 63; RUA  JAVARI TABOAO 582 | Score Final: 63; RUA  JAVARI TABOAO 693 | Score Final: 63; RUA  JAVARI TABOAO 578 | Score Final: 63; RUA  JAVARI TABOAO 699 | Score Final: 63; RUA  JAVARI TABOAO 699 | Score Final: 63; RUA  JAVARI TABOAO 699 | Score Final: 63; RUA  JAVARI TABOAO 702 | Score Final: 63; RUA  JAVARI TABOAO 702 | Score Final: 63";9932210;09932210;False;-23,6656405;-46,61606;-23,664585;-46,617682;202,64011169145522;175116;;3,7740714901251
38;RUA SAO JORGE CENTRO;98,0;28001;RUA SAO JORGE CENTRO;98;100,0;100,0;100,0;"RUA SAO JORGE CENTRO 98 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100; RUA SAO JORGE CENTRO 103 | Score Final: 100";9911070;09911070;False;-23,685687;-46,6260308;-23,686088;-46,626424;59,927439741468746;84471;;4,012460115257166
39;ANTONIO PIRANGA CENTRO;556,0;61402;AVENIDA  ANTONIO PIRANGA CENTRO;556;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA CENTRO 556 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 506 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 506 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 615 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 502 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 496 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 492 | Score Final: 99";9911160;09911160;False;-23,686446886171414;-46,61894381046295;-23,686288;-46,618993;18,363643527431886;50976;;16,125929962916064
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332,0;938;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332;100,0;100,0;100,0;"AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 321 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 321 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 345 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 357 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 357 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 357 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 357 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 364 | Score Final: 99";9972260;09972260;False;-23,7174657;-46,6251652;-23,717684;-46,623864;134,67215161902956;1886;;4,711704625038573
