"_id","_data_ingestion_id","_created_at","_updated_at","_geom","_geog","co_entidade","nu_ano_censo","sg_uf","co_municipio","no_municipio","no_distrito","co_distrito","no_entidade","tp_localizacao","tp_localizacao_diferenciada","ds_endereco","nu_endereco","ds_complemento","no_bairro","co_cep","fonte_geo","tipo_geo","latitude","longitude","cd_setor_2022"
"97708",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000002CB3AD0BE44A47C07C332031308F37C0","0101000020E61000002CB3AD0BE44A47C07C332031308F37C0","35465574","2024","SP","3550308","São Paulo","Água Rasa","355030801","GRADUADO COLEGIO","1","0","PEREIRA JACOME","4448",NULL,"VILA BERTIOGA","3181080","Catálogo de Escolas - agosto/2024","0","-23.5593291","-46.5850844","355030801000110"
"97548",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000578627AA6D4A47C005A568E55E8E37C0","0101000020E6100000578627AA6D4A47C005A568E55E8E37C0","35120030","2024","SP","3550308","São Paulo","Água Rasa","355030801","OURO PRETO COLEGIO","1","0","SIQUEIRA BUENO","2386","RUA","BELENZINHO","3172010","Catálogo de Escolas - agosto/2024","0","-23.5561355","-46.5814717","355030801000111"
"97391",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000273108AC1C4A47C0598638D6C58D37C0","0101000020E6100000273108AC1C4A47C0598638D6C58D37C0","35182291","2024","SP","3550308","São Paulo","Água Rasa","355030801","CR P CONV JOSE PE","1","0","JOAO SOARES","7",NULL,"QUARTA PARADA","3175070","Catálogo de Escolas - agosto/2024","0","-23.5538","-46.579","355030801000122"
"98074",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000AD1E8BC80B4847C066AD5747449137C0","0101000020E6100000AD1E8BC80B4847C066AD5747449137C0","35063071","2024","SP","3550308","São Paulo","Água Rasa","355030801","REDE DECISAO UNIDADE ANALIA FRANCO","1","0","ARTUR BERNARDES","453","RUA","AGUA RASA","3349020","Catálogo de Escolas - agosto/2024","0","-23.5674481","-46.5628596","355030801000136"
"97783",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000008A8EE4F21F4A47C0BA4E232D958F37C0","0101000020E61000008A8EE4F21F4A47C0BA4E232D958F37C0","35495448","2024","SP","3550308","São Paulo","Água Rasa","355030801","ESC PART UNIVERSO DAS LETRAS II","1","0","OURINHOS","318",NULL,"VILA BERTIOGA","3186040","Catálogo de Escolas - agosto/2024","0","-23.56087","-46.5791","355030801000140"
"98229",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000809F71E1404847C0C30DF8FC309237C0","0101000020E6100000809F71E1404847C0C30DF8FC309237C0","35266474","2024","SP","3550308","São Paulo","Água Rasa","355030801","ESC PART PEQUENO NINHO E E I","1","0","DOUTOR GABRIEL DE RESENDE","160",NULL,"VILA INVERNADA","3350005","Catálogo de Escolas - agosto/2024","0","-23.57106","-46.56448","355030801000145"
"98244",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000009C33A2B4374847C06E3480B7409237C0","0101000020E61000009C33A2B4374847C06E3480B7409237C0","35053036","2024","SP","3550308","São Paulo","Água Rasa","355030801","EMEF LEONOR MENDES DE BARROS","1","0","RAIMUNDO CORREIA","5",NULL,"VILA DIVA ZONA LESTE","3351050","Catálogo de Escolas - agosto/2024","0","-23.5713","-46.5642","355030801000145"
"97700",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000209BE447FC4847C0AE4A22FB208F37C0","0101000020E6100000209BE447FC4847C0AE4A22FB208F37C0","35004336","2024","SP","3550308","São Paulo","Água Rasa","355030801","ESC PART ESTRELAS DE ANALIA FRANCO ESCOLA","1","0","BUTIA","53",NULL,"VILA REGENTE FEIJO","3346010","CEM 2022","0","-23.559097","-46.570199","355030801000158"
"97840",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000B95E89F6674A47C0A359D93EE48F37C0","0101000020E6100000B95E89F6674A47C0A359D93EE48F37C0","35001442","2024","SP","3550308","São Paulo","Água Rasa","355030801","ANDRE XAVIER GALLICHO PROFESSOR","1","0","MOOCA","4650","RUA","MOOCA","3165002","Catálogo de Escolas - agosto/2024","0","-23.5620765","-46.5812977","355030801000165"
"97939",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000658F5033A44A47C0A19E3E027F9037C0","0101000020E6100000658F5033A44A47C0A19E3E027F9037C0","35010357","2024","SP","3550308","São Paulo","Água Rasa","355030801","COLEGIO EVANGELICO DA MOOCA","1","0","TERESINA","07",NULL,"VILA BERTIOGA","3185010","Google 2025","1","-23.564438","-46.583136","355030801000166"
