"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
3455,"JOANA PEDROSO DOS SANTOS","101.0",NULL,"JARDIM RODRIGO",2166170,"205721916","RUA  JOANA PEDROSO DOS SANTOS","101.0",NULL,"JARAGUA","100.0","100.0","38.1","90.0","-23.4264393","-46.7265792","355030842000786","-23.426738","-46.726338","355030842000549","-23.426738","-46.726338","0","41.33755717","1","0.34652324",False,NULL
3456,"MARIO TOTTA","100.0",NULL,"PARQUE INDEPENDENCIA",1959860,"60641522","RUA  MARIO TOTTA","225.0",NULL,"PARQUE INDEPENDENCIA","100.0","44.44","100.0","78.89","-23.69220343","-46.78584524","355030843000069","-23.68681","-46.789891","355030843000560","-23.68681","-46.789891","0","727.58461155","1","684.37872563",False,False
3457,"CARLOS MARCHAIS","84.0",NULL,"PARQUE DO LAGO",1423834,"204102356","ALAMEDA  CARLOS MARCHAIS","88.0",NULL,"JARDIM ANGELA","100.0","95.45","37.04","89.09","-23.7136181","-46.7783738","355030843000004","-23.711713","-46.781667","355030843000337","-23.711713","-46.781667","0","396.5884448","1","156.52809878",False,False
3458,"NOVA PROVIDENCIA","81.0",NULL,"PARQUE BOLOGNE",697137,"204599875","RUA  NOVA PROVIDENCIA","81.0",NULL,"PARQUE BOLOGNE","100.0","100.0","100.0","90.0","-23.701426","-46.774287","355030843000010","-23.70082","-46.77396","355030843000601","-23.70082","-46.77396","0","75.16061894","1","44.49029048",False,True
3459,"ANTONIO ELIAS SCHOUERI","240.0",NULL,"PARQUE DO LAGO",1419308,"60515915","RUA  ANTONIO ELIAS SCHOUERI","129.0",NULL,"JARDIM ANGELA","100.0","53.75","37.04","80.75","-23.71502015","-46.77922726","355030843000013","-23.715007","-46.779785","355030843000014","-23.715007","-46.779785","0","56.7998015","1","0",False,True
3460,"ENGENHEIRO RICARDO MEDINA","12.0",NULL,"PARQUE DO LAGO",1843471,"60515752","RUA ENGENHEIRO RICARDO MEDINA","12.0",NULL,"JARDIM ANGELA","100.0","100.0","37.04","90.0","-23.71667842","-46.77828144","355030843000013","-23.716695","-46.778064","355030843000013","-23.716695","-46.778064","0","22.212935","1","0",True,NULL
3461,"CORONEL FLORIANO ALVARO","500.0",NULL,"PARQUE DO LAGO",97669,"60515899","RUA CORONEL FLORIANO ALVARO","500.0",NULL,"JARDIM ANGELA","100.0","100.0","37.04","90.0","-23.71411545","-46.77938584","355030843000014","-23.714106","-46.779358","355030843000014","-23.714106","-46.779358","0","3.02280179","1","0",True,NULL
3462,"SERINGAL DO RIO VERDE","73.0",NULL,"PARQUE BOLOGNE",211084,"222623321","RUA  SERINGAL DO RIO VERDE","58.0",NULL,"JARDIM NAKAMURA","100.0","79.45","20.69","85.89","-23.69994","-46.777628","355030843000026","-23.698342","-46.777405","355030843000026","-23.698342","-46.777405","0","179.13452219","1","0",True,NULL
3463,"JIVAROS","72.0",NULL,"PARQUE BOLOGNE",13952,"214318603","RUA  ANTIGO CONTINENTE","81.0",NULL,"PARQUE BOLOGNE","100.0","88.89","100.0","87.78","-23.7009473","-46.7757195","355030843000027","-23.702805","-46.777278","355030843000010","-23.702794","-46.777266499999996","1.69323005","260.47886909","1","148.29119024",False,True
3464,"MARIO BENVENUTTI","170.0",NULL,"PARQUE DO LAGO",1586644,"60568895","RUA  MARIO BENVENUTTI","170.0",NULL,"JARDIM ANGELA","100.0","100.0","37.04","90.0","-23.71937723","-46.78363069","355030843000037","-23.719499","-46.783456","355030843000037","-23.719499","-46.783456","0","22.35175526","1","0",True,NULL
