"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
"31","AVENIDA ANTONIO PIRANGA CENTRO","700",NULL,"CENTRO","50282","49219193","AVENIDA  ANTONIO PIRANGA CENTRO","700",NULL,"CENTRO","100","18.62","100","53.35","-23.68612","-46.617233","351380105000538","-23.686248","-46.618424","351380105000538","-23.686248","-46.618424","0","122.10941606","1","0",True,NULL
"32","RUA NELSON RODRIGUES VL CONCEICAO","191",NULL,"VL CONCEICAO","67716","49396891","RUA  NELSON RODRIGUES CONCEICAO","191","FRENTE","CONCEICAO","100","22.33","17.29","45.99","-23.692654","-46.617952","351380105000343","-23.692549","-46.617933","351380105000343","-23.692549","-46.617933","0","11.83468328","1","0",True,NULL
"33","RUA SANTO AMARO CENTRO","92",NULL,"CENTRO","112213","97188507","RUA SANTO AMARO CENTRO","92",NULL,"CENTRO","100","18.62","100","53.36","-23.683663","-46.632286","351380105000015","-23.683683","-46.632346","351380105000015","-23.683683","-46.632346","0","6.50194788","1","0",True,NULL
"34","RUA COIMBRA CENTRO","760",NULL,"CENTRO","43728","49431198","RUA  COIMBRA CENTRO","763",NULL,"CENTRO","100","13.16","100","43.1","-23.697643","-46.62878","351380105000356","-23.697554","-46.628848","351380105000477","-23.697554","-46.628848","0","12.07789465","1","0",False,True
"35","RUA BOROROS CONCEICAO","80",NULL,"CONCEICAO","81536","97195120","RUA  BOROROS CONCEICAO","801",NULL,"CONCEICAO","100","18.84","100","53.72","-23.700026","-46.618561","351380105000331","-23.697019","-46.612275","351380105000666","-23.697019","-46.612275","0","722.10624575","1","691.7810641",False,False
"36","AVENIDA ANTONIO PIRANGA CENTRO","556",NULL,"CENTRO","61402","49219183","AVENIDA  ANTONIO PIRANGA CENTRO","556","ENTRADA","CENTRO","100","23.44","100","60.49","-23.686446","-46.618944","351380105000538","-23.686288","-46.618993","351380105000538","-23.686288","-46.618993","0","18.26360484","1","0",True,NULL
"37","RUA JAVARI JARDIM PAINEIRAS","635",NULL,"JARDIM PAINEIRAS","21410","199951524","RUA  JAVARI TABOAO","635",NULL,"TABOAO","100","23.37","10.82","40.33","-23.664802","-46.617645","351380105000374","-23.664585","-46.617682","351380105000374","-23.664585","-46.617682","0","24.42180202","1","0",True,NULL
"38","RUA SAO JORGE CENTRO","98",NULL,"CENTRO","28001","50151585","RUA SAO JORGE CENTRO","98",NULL,"CENTRO","100","20.74","100","56.68","-23.685945","-46.626568","351380105000002","-23.686088","-46.626424","351380105000002","-23.686088","-46.626424","0","21.62982241","1","0",True,NULL
"39","ANTONIO PIRANGA CENTRO","556",NULL,"CENTRO","61402","49219183","AVENIDA  ANTONIO PIRANGA CENTRO","556","ENTRADA","CENTRO","100","23.44","100","60.49","-23.686447","-46.618944","351380105000538","-23.686288","-46.618993","351380105000538","-23.686288","-46.618993","0","18.37059496","1","0",True,NULL
"40","AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO","332",NULL,"ELDORADO","12274","200917641","AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO","332",NULL,"ELDORADO","100","19.88","100","55.37","-23.71774","-46.624015","351380105000987","-23.718153","-46.623604","351380105000510","-23.718158","-46.623604","0.5559754","62.12609758","1","0",False,NULL
