"_id","_data_ingestion_id","_created_at","_updated_at","_geom","_geog","co_entidade","nu_ano_censo","sg_uf","co_municipio","no_municipio","no_distrito","co_distrito","no_entidade","tp_localizacao","tp_localizacao_diferenciada","ds_endereco","nu_endereco","ds_complemento","no_bairro","co_cep","fonte_geo","tipo_geo","latitude","longitude","cd_setor_2022","lat","lon","precisao","tipo_resultado","desvio_metros","endereco_encontrado","contagem_cnefe","empate","cd_setor_verdadeiro","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros_final","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
7552,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000007E62AE5637EA4FC0B876A224246A24C0","0101000020E61000007E62AE5637EA4FC0B876A224246A24C0",11004428,2024,"RO",1100452,"Buritis","Buritis",110045205,"EEEFM BURITI",1,0,"RUA BARRETOS","1870",NULL,"SETOR 03","76880000","Catálogo de Escolas - agosto/2024","0","-10.207307","-63.8298138","110045205000008","-10.20567825797421","-63.83430454954461","numero_aproximado","da03","6","RUA BARRETOS, 1870 (aprox) - SETOR 03, BURITIS - RO",1,False,"110045205000008","110045205000002","-10.20567825797421","-63.83430454954461","0","523.75625133","1","126.70862447",False,True
7556,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000006CED7DAA0AEB4FC0706072A3C86A24C0","0101000020E61000006CED7DAA0AEB4FC0706072A3C86A24C0",11051221,2024,"RO",1100452,"Buritis","Buritis",110045205,"QI ESCOLA DE PROFISSOES-CENTRO DE ENSINO DEKOLE DE BURITIS",1,0,"AVENIDA AYRTON SENNA","2454","PREDIO","SETOR 3","76880000","Google 2025","1","-10.208562","-63.836263","110045205000002","-10.208241043613567","-63.83811431468145","numero_aproximado","da04","6","AVENIDA AYRTON SENNA, 2454 (aprox) - SETOR 07, BURITIS - RO",1,False,"110045205000002","110045205000063","-10.208241043613567","-63.83811431468145","0","205.7176596","1","107.06917289",False,True
7564,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000ACF82B09F5EB4FC0763CC159A56B24C0","0101000020E6100000ACF82B09F5EB4FC0763CC159A56B24C0",11046341,2024,"RO",1100452,"Buritis","Buritis",110045205,"CRECHE CHAPEUZINHO VERMELHO",1,0,"AVENIDA RONDONIA","2214","SETOR 06",NULL,"76880000","Catálogo de Escolas - agosto/2024","0","-10.2102459","-63.8434154","110045205000064","-10.203924519162225","-63.83498289608964","numero_aproximado","da04","6","AVENIDA RONDONIA, 2214 (aprox) - SETOR 03, BURITIS - RO",2,False,"110045205000064","110045205000002","-10.203924519162225","-63.83498289608964","0","1160.02671814","1","637.4817785",False,False
7566,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E610000018528F7E45E94FC0D11044CCDB6B24C0","0101000020E610000018528F7E45E94FC0D11044CCDB6B24C0",11045558,2024,"RO",1100452,"Buritis","Buritis",110045205,"EMEIEF PAULO FREIRE",1,0,"RUA MARECHAL HERMES DA FONSECA","1370",NULL,"SETOR 02","76880000","Catálogo de Escolas - agosto/2024","0","-10.2106613","-63.8224333","110045205000016","-10.20629153781467","-63.825105616251626","localidade","db01","370","SETOR 02, BURITIS - RO",474,False,"110045205000016","110045205000005","-10.20629153781467","-63.825105616251626","0","567.11435497","1","253.33926031",False,True
7573,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000AAF1D24D62EA4FC0FED137691A6C24C0","0101000020E6100000AAF1D24D62EA4FC0FED137691A6C24C0",11049278,2024,"RO",1100452,"Buritis","Buritis",110045205,"INSTITUICAO DE ENSINO MUNDO FELIZ DE EDUCACAO INFANTIL FUNDAMENTAL E MEDIO",1,0,"RUA ARIQUEMES","1215",NULL,"SETOR 02","76880000","Catálogo de Escolas - agosto/2024","0","-10.211139","-63.831125","110045205000007","-10.207268264125466","-63.82523832498817","numero_aproximado","da03","6","RUA ARIQUEMES, 1215 (aprox) - SETOR 02, BURITIS - RO",1,False,"110045205000007","110045205000005","-10.207268264125466","-63.82523832498817","0","774.75857795","1","669.38147983",False,False
7574,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000005ECF7C7324EC4FC060E4654D2C6C24C0","0101000020E61000005ECF7C7324EC4FC060E4654D2C6C24C0",11045906,2024,"RO",1100452,"Buritis","Buritis",110045205,"EMEIEF FRANCISCO JOSE CHIQUILITO ERSE",1,0,"RUA ANNA MARIA KLEIN","2030",NULL,"SETOR 07","76880000","Catálogo de Escolas - agosto/2024","0","-10.2112755","-63.8448624","110045205000052","-10.210034744213738","-63.84400590648242","numero_aproximado","pa03","6","RUA ANA MARIA KLEN, 2030 (aprox) - SETOR 07, BURITIS - RO",1,False,"110045205000052","110045205000064","-10.210034744213738","-63.84400590648242","0","166.79277213","1","99.05907352",False,True
7576,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000EA99B91B9FEB4FC01BFBED467A6C24C0","0101000020E6100000EA99B91B9FEB4FC01BFBED467A6C24C0",11044420,2024,"RO",1100452,"Buritis","Buritis",110045205,"ESCOLA DE ENSINO ESPECIAL SONHO MEU - APAE",1,0,"RUA BRASILIA","2790","QUADRA 33","SETOR 07","76880000","Catálogo de Escolas - agosto/2024","0","-10.2118704","-63.8407931","110045205000063","-10.211493401186933","-63.841205569395484","numero_aproximado","da03","6","RUA BRASILIA, 2790 (aprox) - SETOR 07, BURITIS - RO",1,False,"110045205000063","110045205000064","-10.211493401186933","-63.841205569395484","0","61.60165975","1","8.51655375",False,True
7590,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000A81C93C5FDE94FC072135A7B446D24C0","0101000020E6100000A81C93C5FDE94FC072135A7B446D24C0",11042028,2024,"RO",1100452,"Buritis","Buritis",110045205,"EEEFM PROF ELVANDAS MARIA DE SIQUEIRA",1,0,"AVENIDA PORTO VELHO","880","ESCOLA","CENTRO","76880000","Catálogo de Escolas - agosto/2024","0","-10.2134131","-63.828057","110045205000006","-10.206896046163795","-63.82758375311219","numero_aproximado","da04","6","AVENIDA PORTO VELHO, 880 (aprox) - SETOR 02, BURITIS - RO",1,True,"110045205000006","110045205000005","-10.202689949927036","-63.82754953455816","467.71219783","726.51257409","1","584.94083905",False,False
7643,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000A9C53B1B4DEA4FC02954DC5D0C7224C0","0101000020E6100000A9C53B1B4DEA4FC02954DC5D0C7224C0",11044225,2024,"RO",1100452,"Buritis","Buritis",110045205,"EMEIEF PEDRO EUGENIO MARCILIO",1,0,"RUA PADRE FIOVO CAMAIONE","1844",NULL,"BAIRRO NOVA PORTO VELHO","76880000","Catálogo de Escolas - agosto/2024","0","-10.2227506","-63.8304781","110045205000056","-10.20447469169859","-63.83498092958366","municipio","dm01","16924","BURITIS - RO",3349,False,"110045205000056","110045205000002","-10.20447469169859","-63.83498092958366","0","2091.07898079","1","1951.91761229",False,False
7723,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000003D29F644155D4FC00E64E2FB877D24C0","0101000020E61000003D29F644155D4FC00E64E2FB877D24C0",11007443,2024,"RO",1100023,"Ariquemes","Ariquemes",110002305,"EMEIEF MAFALDA RODRIGUES",2,0,"AREA RURAL",NULL,NULL,"AREA RURAL DE ARIQUEMES","76878899","Catálogo de Escolas - agosto/2024","0","-10.2451781","-62.72721159","110002305000087","-9.914413869624408","-63.03236814099321","municipio","dm01","55536","ARIQUEMES - RO",35565,False,"110002305000087","110002305000001","-9.914413869624408","-63.03236814099321","0","49687.25262334","1","36246.58104588",False,False
