"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
"341","AV. PORTO VELHO CENTRO","1445",NULL,"CENTRO","223931","215039694","RUA  PORTO VELHO CENTRO","1449","CASA FUNDO","CENTRO","20.43","20.99","100","22.33","-11.17108255","-61.90637211","110025405000006","-10.915111","-62.552552","110143505000001","-10.915111","-62.552552","0","76048.73481861","1","75740.73127238",False,False
"342","AV DOM BOSCO CENTRO","1767","ESCOLA","CENTRO","839457","1540035","AVENIDA DOM BOSCO CENTRO","1767",NULL,"CENTRO","100","20.36","100","56.1","-11.16818446","-61.90546622","110025405000007","-11.168271","-61.905046","110025405000007","-11.168271","-61.905046","0","46.84062493","1","0",True,NULL
"343","RUA OTAVIO RODRIGUES DE MATOS ERNANDES GONCALVES","2187","ESCOLA","ERNANDES GONCALVES","775890","1542407","RUA  OTAVIO RODRIGUES DE MATOS ERNANDES GONCALVES","2187",NULL,"ERNANDES GONCALVES","100","26.15","100","63.9","-11.1689364","-61.9092358","110025405000051","-11.169158","-61.909331","110025405000016","-11.169158","-61.909331","0","26.73994118","1","0",False,NULL
"344","RUA CARLOS GOMES CUNHA E SILVA","2251",NULL,"CUNHA E SILVA","76573","92293901","RUA  CARLOS GOMES CUNHA E SILVA","2251",NULL,"CUNHA E SILVA","100","24.27","100","61.57","-11.1796809","-61.9085391","110025405000059","-11.180001","-61.908429","110025405000013","-11.180001","-61.908429","0","37.56523261","1","0",False,NULL
"345","RUA MARINGA CUNHA E SILVA","2340","ESCOLA","CUNHA E SILVA","297422","92293902","RUA  MARINGA CUNHA E SILVA","2340",NULL,"CUNHA E SILVA","100","26.8","100","64.67","-11.1787172","-61.9076277","110025405000059","-11.178563","-61.907759","110025405000013","-11.178563","-61.907759","0","22.34146181","1","2.49918797",False,NULL
"346","AVENIDA BELEM PLANALTO","5796",NULL,"PLANALTO","532376","92296793","AVENIDA  BELEM PLANALTO","5796",NULL,"PLANALTO","100","26.86","100","64.74","-11.7144378","-61.7853605","110028805000004","-11.714627","-61.784729","110028805000004","-11.714627","-61.784729","0","71.90370196","1","0",True,NULL
"347","RUA PADRE ROMANO BAIRRO","818","DISTRITO DE ESTRELA","BAIRRO","797443","91992210","RUA PADRE ROMANO NOVA COLINA","817",NULL,"NOVA COLINA","100","18.83","10.5","36.84","-11.3045382","-61.7814927","110025415000001","-10.789355","-61.693103","110012220000001","-10.789355","-61.693103","0","58092.33271282","1","57325.37305349",False,False
"348","LINHA 140,SETOR LEITAO ,LOTE 06",NULL,NULL,NULL,"203688","110642367","LINHA  647 LINHA 647","3",NULL,"LINHA 647","25.57","13.82","10.71","19.54","-11.1603489657864","-61.71032904647289","110025415000005","-8.947729","-63.454851","110080905000019","-8.947729","-63.454851","0","311463.01608349","1","306604.54539113",False,False
"349","RUA RIO MADEIRA CENTRO","4807","PREDIO","CENTRO","773502","1551210","RUA  RIO MADEIRA CENTRO","4807",NULL,"CENTRO","100","25.88","100","63.58","-11.7236169","-61.7818368","110028805000007","-11.723637","-61.781703","110028805000007","-11.723637","-61.781703","0","14.73799188","1","0",True,NULL
"350","AVENIDA FORTALEZA CENTRO","5550",NULL,"CENTRO","773089","1551212","AVENIDA  FORTALEZA CENTRO","5550",NULL,"CENTRO","100","27.11","100","65.03","-11.7238867","-61.783111","110028805000007","-11.724185","-61.783106","110028805000007","-11.724185","-61.783106","0","33.17395913","1","0",True,NULL
