"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
273,"RUA GILBERTO FREIRE ESPERANCA DA COMUNIDADE","7935.0",NULL,"esperanca da comunidade",424153,"92280698","RUA  GILBERTO FREIRE TEIXEIRAO","7935",NULL,"teixeirao","100.0","100.0","25.0","92.5","-8.743565","-63.844438","110020505090083","-8.743615","-63.844415","110020505090080","-8.743615","-63.844415","0","6.1074103","1","0",False,True
274,"RUA SHEILA REGINA TEIXEIRAO","5352.0",NULL,"teixeirao",350876,"217550924","RUA  SHEILA REGINA TEIXEIRAO","5415","CASA FUNDO","teixeirao","100.0","98.84","100.0","99.77","-8.746956687000004","-63.84382749","110020505090083","-8.744599","-63.845552","110020505090079","-8.744599","-63.845552","0","323.49680196","1","2.70445589",False,True
275,"RUA LUCIA CARVALHO TEIXEIRAO","5417.0",NULL,"teixeirao",879511,"1508109","RUA  LUCIA CARVALHO TEIXEIRAO","5440",NULL,"teixeirao","100.0","99.58","100.0","99.92","-8.746218333","-63.83644333","110020505090086","-8.746052","-63.836286","110020505090085","-8.746052","-63.836286","0","25.31906884","1","0",False,NULL
276,"AVENIDA MAMORE ESPERANCA DA COMUNIDADE","4968.0","ESCOLA DE POLICIA","esperanca da comunidade",40416,"92281605","AVENIDA  MAMORE ESCOLA DE POLICIA","5002",NULL,"escola de policia","100.0","99.32","40.0","93.86","-8.7502566","-63.8465047","110020505090090","-8.749908","-63.846687","110020505090090","-8.749908","-63.846687","0","43.63414037","1","0",True,NULL
277,"RUA ASSIS CHATEAUBRIAND ESPERANCA DA COMUNIDADE","7643.0","ZONA LESTE","esperanca da comunidade",40250,"92281660","RUA  ASSIS CHATEAUBRIAND ESCOLA DE POLICIA","7658",NULL,"escola de policia","100.0","99.8","40.0","93.96","-8.7509673","-63.8447862","110020505090090","-8.75124","-63.844389","110020505090090","-8.75124","-63.844382","0.769304","53.15092566","1","0",True,NULL
278,"AVENIDA JOSE VIEIRA CAULA ESPERANCA DA COMUNIDADE","6662.0",NULL,"esperanca da comunidade",40073,"215127997","AVENIDA  JOSE VIEIRA CAULA ESCOLA DE POLICIA","6712","APARTAMENTO 101","escola de policia","100.0","99.26","40.0","93.85","-8.749666","-63.8459931","110020505090090","-8.74918","-63.844623","110020505090090","-8.749173500000001","-63.8446105","1.5522961","159.97934977","1","0",True,NULL
279,"RUA AMERICA DO NORTE TRES MARIAS","2455.0",NULL,"tres marias",121094,"99090148","TRAVESSA  AMERICA CENTRO","2927",NULL,"centro","100.0","83.87","23.53","89.13","-8.773940400000004","-63.8443966","110020505090101","-11.196146","-61.515259","110120305000004","-11.196146","-61.515259","0","370931.64201633","1","369987.7925864",False,False
280,"RUA AMERICA DO SUL TRES MARIAS","2818.0",NULL,"tres marias",121094,"99090148","TRAVESSA  AMERICA CENTRO","2927",NULL,"centro","100.0","96.28","23.53","91.61","-8.770213330000002","-63.84351956","110020505090101","-11.196146","-61.515259","110120305000004","-11.196146","-61.515259","0","371167.66126156","1","369987.7925864",False,False
281,"RUA JOSE AMADOR DOS REIS CASCALHEIRA","1750.0",NULL,"cascalheira",78026,"216541148","RUA  JOSE AMADOR DOS REIS CASCALHEIRA","1953",NULL,"cascalheira","100.0","89.61","100.0","97.92","-8.776983333","-63.83432333","110020505090111","-8.783889","-63.833035","110020505000145","-8.783889","-63.833035","0","780.81874734","1","588.21308791",False,False
282,"RUA RAIMUNDO CANTUARIA TIRADENTES",NULL,NULL,"tiradentes",258659,"1474699","AVENIDA  RAIMUNDO CANTUARIA TIRADENTES","8031",NULL,"tiradentes","100.0","0.0","100.0","80.0","-8.761703004","-63.85923293","110020505090112","-8.757378","-63.839534","110020505090032","-8.757411","-63.839534","3.66943763","2217.64932268","1","1838.06754387",False,False
