idx_df1;endereco_df1;numero_df1;complemento_df1;bairro_df1;idx_df2;cod_unico_df2;endereco_df2;numero_df2;complemento_df2;bairro_df2;similaridade_logradouro;similaridade_numero;similaridade_bairro;similaridade_final;latitude_verdadeira;longitude_verdadeira;cd_setor_verdadeiro;latitude_resultante;longitude_resultante;cd_setor_resultante;desvio_metros
28;RUA GRACIOSA CENTRO;;;centro;43452;50151365;RUA  GRACIOSA CENTRO;39;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688437;-46.625056;351380105000526;25.798597712606153
28;RUA GRACIOSA CENTRO;;;centro;43512;50151349;RUA  GRACIOSA CENTRO;141;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689183;-46.624647;351380105000526;81.85908096669344
28;RUA GRACIOSA CENTRO;;;centro;43513;50151355;RUA  GRACIOSA CENTRO;101;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688945;-46.624808;351380105000526;53.81996007225863
28;RUA GRACIOSA CENTRO;;;centro;43624;200545324;RUA  GRACIOSA CENTRO;83;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688841;-46.624919;351380105000526;43.84672713671017
28;RUA GRACIOSA CENTRO;;;centro;43658;50151357;RUA  GRACIOSA CENTRO;89;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688831;-46.624871;351380105000526;41.703996541527594
28;RUA GRACIOSA CENTRO;;;centro;43714;200545330;RUA  GRACIOSA CENTRO;155;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689183;-46.624576;351380105000526;83.57231854275658
28;RUA GRACIOSA CENTRO;;;centro;43882;50151368;RUA  GRACIOSA CENTRO;23;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688138;-46.625073;351380105000526;45.16903561772106
28;RUA GRACIOSA CENTRO;;;centro;44016;50151350;RUA  GRACIOSA CENTRO;137;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689139;-46.624715;351380105000526;75.93300324239245
28;RUA GRACIOSA CENTRO;;;centro;44089;50151366;RUA  GRACIOSA CENTRO;37;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688310;-46.625141;351380105000526;38.20299622898149
28;RUA GRACIOSA CENTRO;;;centro;44204;200545321;RUA  GRACIOSA CENTRO;0;SOBRELOJA;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688443;-46.625091;351380105000526;29.292574070617533
28;RUA GRACIOSA CENTRO;;;centro;44237;50151356;RUA  GRACIOSA CENTRO;95;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688886;-46.624856;351380105000526;47.55361704487944
28;RUA GRACIOSA CENTRO;;;centro;44313;200545325;RUA  GRACIOSA CENTRO;0;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689060;-46.624827;351380105000526;66.64701501279168
28;RUA GRACIOSA CENTRO;;;centro;44385;200545323;RUA  GRACIOSA CENTRO;73;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688644;-46.624972;351380105000526;26.58404943050248
28;RUA GRACIOSA CENTRO;;;centro;44419;50151352;RUA  GRACIOSA CENTRO;125;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689054;-46.624800;351380105000526;65.93994052555082
28;RUA GRACIOSA CENTRO;;;centro;44648;50151362;RUA  GRACIOSA CENTRO;53;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688441;-46.625120;351380105000526;32.253834001685746
28;RUA GRACIOSA CENTRO;;;centro;44691;50151359;RUA  GRACIOSA CENTRO;85;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688692;-46.624940;351380105000526;29.181339732569267
28;RUA GRACIOSA CENTRO;;;centro;45026;200545328;RUA  GRACIOSA CENTRO;0;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689176;-46.624586;351380105000526;82.54523567145758
28;RUA GRACIOSA CENTRO;;;centro;60034;50151403;RUA  GRACIOSA CENTRO;207;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689841;-46.624302;351380105000526;161.73915338001726
28;RUA GRACIOSA CENTRO;;;centro;60378;50151400;RUA  GRACIOSA CENTRO;205;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689668;-46.624323;351380105000526;142.87002985557922
