"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
1024,"RAMAL DO PIONEIRO KM 23",NULL,NULL,"DISTRITO DE NOVA CALIFORNIA",601459,"180391697","RAMAL  PIONEIRO","2",NULL,"NOVA CALIFORNIA","100.0",NULL,"100.0","100.0","-8.761158","-63.900436","110020505060003","-9.867565","-66.645241","110020535000009","-9.866309000000001","-66.6463125","182.43905726","325337.303516","1","325234.39806921",False,False
1025,"AGROVILA RIO VERDE - RIO JAMARI",NULL,"DIST. SAO CARLOS",NULL,40962,"1553356","RUA  RIO VERDE","5770",NULL,"CENTRO","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-11.732673","-61.770762","110028805000012","-11.7326335","-61.770720499999996","6.30122623","404309.79291868","1","402888.47148643",False,False
1026,"ALDEIA PEDREIRA",NULL,"TERRA IND. KAXARARI",NULL,535663,"1627354","ALDEIA  ALDEINHA CURRAL","0",NULL,"VILHENA","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-11.670905","-60.189408","110030405000114","-11.670935","-60.189388","3.9838754","519197.0984845","1","518318.12254385",False,NULL
1027,"ALDEIA MARMELINHO",NULL,"TERRA IND KAXARARI",NULL,447034,"92003899","RUA  JOSE MARCELINO ALMEIDA","35",NULL,"ITAPORANGA","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-11.630117","-61.19693","110018920000001","-11.6302115","-61.1974835","61.19184996","435072.67151725","1","433900.93518122",False,False
1028,"ALDEIA PAXIUBA",NULL,NULL,NULL,535663,"1627354","ALDEIA  ALDEINHA CURRAL","0",NULL,"VILHENA","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-11.670905","-60.189408","110030405000114","-11.670935","-60.189388","3.9838754","519197.0984845","1","518318.12254385",False,NULL
1029,"ALDEIA BARRRINHA",NULL,"TERRA IND. KAXARARI",NULL,535663,"1627354","ALDEIA  ALDEINHA CURRAL","0",NULL,"VILHENA","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-11.670905","-60.189408","110030405000114","-11.670935","-60.189388","3.9838754","519197.0984845","1","518318.12254385",False,NULL
1030,"KM 13",NULL,"VILA CODARON","ZONA RURAL",15190,"98972083","TRAVESSAO  KM 13","3","LADO ESQ","LINHA ZERO UM","100.0",NULL,"34.78","100.0","-8.761158","-63.900436","110020505060003","-13.089327","-60.469229","110006405000037","-13.090603","-60.4690755","142.85558929","609823.67817719","1","607955.5402076",False,False
1031,"ALDEIA NOVA",NULL,"TERRA IND. KAXARARI",NULL,551554,"180235155","ALDEIA  NOVA CRISTA JIKI","0",NULL,"ALDEIA INDIGENA NOVA CRISTA JIKI","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-11.16298","-60.733146","110009805000049","-11.16298","-60.733143999999996","0.21818264","437755.94020241","1","437021.75542668",False,False
1032,"ALDEIA BURITI",NULL,"TERRA IND. KAXARARI",NULL,535663,"1627354","ALDEIA  ALDEINHA CURRAL","0",NULL,"VILHENA","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-11.670905","-60.189408","110030405000114","-11.670935","-60.189388","3.9838754","519197.0984845","1","518318.12254385",False,NULL
1033,"LC 95 TB 20",NULL,NULL,NULL,196944,"110638342","LINHA  LC 95 TB 10","0","CHACARA 1","PROJETO DE ASSENTAMENTO DIRIGIDO MARECHAL DUTRA","100.0",NULL,"0.0","100.0","-9.722209","-63.31236","110040305000036","-9.530349","-63.432281","110040305000012","-9.530349","-63.432281","0","25059.42320429","1","24149.88072321",False,False
