"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
27,"RUA ITALIA JARDIM DAS NACOES","290.0",NULL,"jardim das nacoes",79339,"49295886","RUA  ITALIA TABOAO","291","CASA 2","taboao","100.0","99.66","26.09","92.54","-23.673751","-46.609552","351380105000119","-23.673853","-46.609667","351380105000078","-23.673831","-46.609660000000005","2.54804179","16.30318266","1","3.00539571",False,True
28,"RUA GRACIOSA CENTRO",NULL,NULL,"centro",65511,"50151316","RUA  GRACIOSA CENTRO","241",NULL,"centro","100.0","0.0","100.0","80.0","-23.688461","-46.624804","351380105000531","-23.689987","-46.624381","351380105000526","-23.690008","-46.624318","6.82675336","175.06504894","1","147.48137471",False,True
29,"RUA CARAMURU VL CONCEICAO","1255.0",NULL,"vila conceicao",36283,"49398148","RUA  CARAMURU CONCEICAO","1264",NULL,"conceicao","100.0","99.29","100.0","99.86","-23.691191","-46.610021","351380105000350","-23.691414","-46.609824","351380105000351","-23.691414","-46.609824","0","31.89424497","1","8.88906009",False,True
30,"RUA MANOEL DA NOBREGA VL CONCEICAO","605.0",NULL,"vila conceicao",2593,"199934843","RUA  MANOEL DA NOBREGA CENTRO","350",NULL,"centro","100.0","57.85","30.0","84.57","-23.690327","-46.622732","351380105000528","-23.686723","-46.620786","351380105000010","-23.686731","-46.620786","0.88956064","447.06048383","1","354.48530912",False,False
31,"AVENIDA ANTONIO PIRANGA CENTRO","700.0",NULL,"centro",50282,"49219193","AVENIDA  ANTONIO PIRANGA CENTRO","700",NULL,"centro","100.0","100.0","100.0","100.0","-23.68612","-46.617233","351380105000538","-23.686248","-46.618424","351380105000538","-23.686248","-46.618424","0","122.10941606","1","0",True,NULL
32,"RUA NELSON RODRIGUES VL CONCEICAO","191.0",NULL,"vila conceicao",67716,"49396891","RUA  NELSON RODRIGUES CONCEICAO","191","FRENTE","conceicao","100.0","100.0","100.0","100.0","-23.692654","-46.617952","351380105000343","-23.692549","-46.617933","351380105000343","-23.692549","-46.617933","0","11.83468328","1","0",True,NULL
33,"RUA SANTO AMARO CENTRO","92.0",NULL,"centro",112213,"97188507","RUA SANTO AMARO CENTRO","92",NULL,"centro","100.0","100.0","100.0","100.0","-23.683663","-46.632286","351380105000015","-23.683683","-46.632346","351380105000015","-23.683683","-46.632346","0","6.50194788","1","0",True,NULL
34,"RUA COIMBRA CENTRO","760.0",NULL,"centro",43728,"49431198","RUA  COIMBRA CENTRO","763",NULL,"centro","100.0","99.61","100.0","99.92","-23.697643","-46.62878","351380105000356","-23.697554","-46.628848","351380105000477","-23.697554","-46.628848","0","12.07789465","1","0",False,True
35,"RUA BOROROS CONCEICAO","80.0",NULL,"conceicao",52733,"219077816","RUA  BOROROS CONCEICAO","48","GARAGEM 1GARAGEM UBS","conceicao","100.0","60.0","100.0","92.0","-23.700026","-46.618561","351380105000331","-23.700079","-46.619106","351380105000329","-23.6991795","-46.6171085","226.64416208","55.80241096","1","5.58155974",False,False
36,"AVENIDA ANTONIO PIRANGA CENTRO","556.0",NULL,"centro",61402,"49219183","AVENIDA  ANTONIO PIRANGA CENTRO","556","ENTRADA","centro","100.0","100.0","100.0","100.0","-23.686446","-46.618944","351380105000538","-23.686288","-46.618993","351380105000538","-23.686288","-46.618993","0","18.26360484","1","0",True,NULL
37,"RUA JAVARI JARDIM PAINEIRAS","635.0",NULL,"jardim paineiras",21410,"199951524","RUA  JAVARI TABOAO","635",NULL,"taboao","100.0","100.0","18.18","91.82","-23.664802","-46.617645","351380105000374","-23.664585","-46.617682","351380105000374","-23.664585","-46.617682","0","24.42180202","1","0",True,NULL
38,"RUA SAO JORGE CENTRO","98.0",NULL,"centro",28001,"50151585","RUA SAO JORGE CENTRO","98",NULL,"centro","100.0","100.0","100.0","100.0","-23.685945","-46.626568","351380105000002","-23.686088","-46.626424","351380105000002","-23.686088","-46.626424","0","21.62982241","1","0",True,NULL
39,"ANTONIO PIRANGA CENTRO","556.0",NULL,"centro",61402,"49219183","AVENIDA  ANTONIO PIRANGA CENTRO","556","ENTRADA","centro","100.0","100.0","100.0","100.0","-23.686447","-46.618944","351380105000538","-23.686288","-46.618993","351380105000538","-23.686288","-46.618993","0","18.37059496","1","0",True,NULL
40,"AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO","332.0",NULL,"eldorado",12274,"200917641","AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO","332",NULL,"eldorado","100.0","100.0","100.0","100.0","-23.71774","-46.624015","351380105000987","-23.718153","-46.623604","351380105000510","-23.718158","-46.623604","0.5559754","62.12609758","1","0",False,NULL
